"unigram","bigram","freq"
"waiting","for",139
"was","just",139
"with","her",139
"with","it",139
"him","to",138
"i","found",138
"i","made",138
"is","still",138
"to","write",138
"a","year",137
"and","if",137
"before","i",137
"for","an",137
"he","had",137
"off","to",137
"or","a",137
"to","think",137
"us","to",137
"which","i",137
"a","huge",136
"and","now",136
"down","to",136
"miss","you",136
"on","their",136
"to","his",136
"and","your",135
"last","year",135
"many","of",135
"me","that",135
"no","matter",135
"sort","of",135
"that","this",135
"the","word",135
"before","the",134
"i","knew",134
"is","now",134
"live","in",134
"or","not",134
"wants","to",134
"what","are",134
"where","the",134
"all","my",133
"but","not",133
"years","ago",133
"are","in",132
"at","my",132
"can","see",132
"me","the",132
"now","that",132
"of","what",132
"you","i",132
"and","was",131
"with","his",131
"am","i",130
"at","this",130
"but","they",130
"know","it",130
"lol","i",130
"of","an",130
"on","our",130
"that","my",130
"to","share",130
"told","me",130
"well","i",130
"while","i",130
"yes","i",130
"a","man",129
"and","what",129
"in","which",129
"to","create",129
"to","talk",129
"u","s",129
"we","all",129
"we","do",129
"because","they",128
"i","might",128
"me","in",128
"out","in",128
"rt","i",128
"the","second",128
"to","look",128
"for","her",127
"front","of",127
"full","of",127
"have","an",127
"my","heart",127
"s","been",127
"so","it",127
"take","the",127
"the","year",127
"what","it",127
"why","i",127
"as","an",126
"at","home",126
"excited","to",126
"good","to",126
"on","to",126
"seem","to",126
"the","middle",126
"the","two",126
"though","i",126
"who","s",126
"you","too",126
"your","life",126
"along","with",125
"day","i",125
"for","us",125
"has","to",125
"it","but",125
"my","friend",125
"see","what",125
"since","i",125
"wait","for",125
"with","an",125
"high","school",124
"in","it",124
"that","one",124
"thought","i",124
"would","you",124
"a","nice",123
"are","all",123
"not","have",123
"under","the",123
"just","as",122
"talk","to",122
"do","that",121
"of","me",121
"one","day",121
"sure","to",121
"the","truth",121
"you","would",121
"your","own",121
"be","on",120
"be","there",120
"every","day",120
"find","a",120
"it","for",120
"number","of",120
"rather","than",120
"seems","to",120
"them","in",120
"think","about",120
"to","learn",120
"about","this",119
"all","over",119
"based","on",119
"because","the",119
"i","decided",119
"i","say",119
"next","week",119
"should","have",119
"talk","about",119
"to","eat",119
"to","sleep",119
"a","chance",118
"a","way",118
"and","this",118
"is","also",118
"my","head",118
"my","mind",118
"the","sun",118
"they","will",118
"across","the",117
"in","front",117
"in","her",117
"made","it",117
"me","on",117
"than","a",117
"thing","i",117
"will","not",117
"with","this",117
"a","time",116
"a","wonderful",116
"ain","t",116
"back","and",116
"could","have",116
"do","the",116
"happy","to",116
"may","have",116
"s","all",116
"that","there",116
"the","night",116
"was","going",116
"aren","t",115
"come","on",115
"is","this",115
"look","like",115
"my","friends",115
"side","of",115
"social","media",115
"the","country",115
"tried","to",115
"would","like",115
"and","how",114
"it","just",114
"know","the",114
"me","too",114
"much","more",114
"am","not",113
"but","he",113
"got","the",113
"here","s",113
"the","man",113
"any","of",112
"chance","to",112
"day","and",112
"did","i",112
"for","more",112
"is","your",112
"like","you",112
"supposed","to",112
"t","like",112
"the","big",112
"to","that",112
"ve","got",112
"y","all",112
"a","whole",111
"i","wanna",111
"i","wonder",111
"if","he",111
"no","longer",111
"out","with",111
"people","are",111
"the","more",111
"them","and",111
"d","be",110
"make","me",110
"thinking","about",110
"to","follow",110
"what","they",110
"where","you",110
"with","that",110
"you","so",110
"and","even",109
"i","dont",109
"i","said",109
"next","time",109
"not","just",109
"or","the",109
"out","on",109
"so","excited",109
"with","all",109
"and","there",108
"close","to",108
"hope","to",108
"in","all",108
"just","to",108
"see","it",108
"time","and",108
"about","how",107
"amount","of",107
"but","this",107
"know","you",107
"sense","of",107
"the","kids",107
"the","morning",107
"and","her",106
"for","their",106
"it","seems",106
"nice","to",106
"of","life",106
"only","one",106
"s","what",106
"to","change",106
"way","i",106
"and","make",105
"between","the",105
"can","make",105
"is","like",105
"less","than",105
"much","as",105
"much","of",105
"the","back",105
"think","you",105
"top","of",105
"what","to",105
"with","us",105
"yeah","i",105
"a","woman",104
"and","for",104
"believe","that",104
"do","with",104
"have","some",104
"i","haven",104
"order","to",104
"re","not",104
"she","had",104
"the","good",104
"the","road",104
"time","in",104
"to","let",104
"to","them",104
"today","is",104
"and","see",103
"for","them",103
"give","me",103
"have","any",103
"i","didn’t",103
"i’m","not",103
"interested","in",103
"it’s","a",103
"these","are",103
"who","has",103
"you","may",103
"day","to",102
"here","are",102
"i","believe",102
"i","look",102
"let","us",102
"looking","at",102
"me","know",102
"so","the",102
"the","old",102
"to","stay",102
"was","an",102
"an","hour",101
"and","just",101
"come","back",101
"day","in",101
"every","time",101
"for","following",101
"gonna","be",101
"here","i",101
"in","some",101
"s","just",101
"the","state",101
"then","the",101
"would","love",101
"&","i",100
"as","he",100
"at","work",100
"be","sure",100
"him","and",100
"how","do",100
"it","the",100
"it","with",100
"more","of",100
"s","so",100
"that","if",100
"until","the",100
"and","when",99
"are","some",99
"i","started",99
"life","and",99
"made","a",99
"my","phone",99
"not","going",99
"now","and",99
"the","idea",99
"to","their",99
"today","s",99
