"unigram","bigram","trigram","freq"
"to","see","it",27
"to","write","a",27
"to","you","and",27
"was","a","little",27
"we","have","been",27
"why","is","it",27
"you","can","make",27
"you","had","a",27
"you","like","to",27
"a","few","of",26
"a","member","of",26
"a","result","of",26
"all","of","this",26
"and","lots","of",26
"and","there","is",26
"and","we","are",26
"and","you","re",26
"are","trying","to",26
"as","it","is",26
"as","one","of",26
"back","to","work",26
"be","at","the",26
"been","able","to",26
"but","i","ve",26
"can","be","a",26
"can","t","help",26
"can","t","sleep",26
"fact","that","i",26
"for","the","last",26
"go","to","sleep",26
"here","in","the",26
"hope","you","have",26
"i","go","to",26
"i","got","the",26
"i","love","how",26
"i","may","have",26
"if","i","m",26
"if","i","was",26
"in","the","day",26
"is","a","little",26
"is","also","a",26
"is","more","than",26
"is","that","it",26
"it","as","a",26
"know","that","i",26
"little","bit","of",26
"me","know","if",26
"miss","you","too",26
"of","your","life",26
"on","the","ground",26
"on","the","internet",26
"on","the","same",26
"over","the","past",26
"people","in","the",26
"ready","for","a",26
"ready","to","go",26
"see","you","soon",26
"so","excited","for",26
"some","kind","of",26
"talk","to","me",26
"thanks","for","your",26
"the","past","few",26
"the","right","to",26
"the","state","of",26
"the","world","is",26
"they","are","not",26
"think","i","ll",26
"this","morning","i",26
"to","have","been",26
"to","live","in",26
"to","try","and",26
"ve","got","a",26
"we","all","know",26
"what","i","do",26
"what","you","want",26
"who","wants","to",26
"you","have","the",26
"you","know","the",26
"a","beautiful","day",25
"a","good","idea",25
"all","of","us",25
"and","we","ll",25
"and","you","know",25
"are","so","many",25
"be","the","best",25
"do","not","have",25
"don","t","give",25
"first","day","of",25
"for","a","little",25
"for","the","#ff",25
"get","to","see",25
"getting","ready","to",25
"go","to","bed",25
"have","to","work",25
"how","to","use",25
"i","could","do",25
"i","like","it",25
"i","live","in",25
"i","really","need",25
"i","want","a",25
"i","was","able",25
"i","will","not",25
"if","you","were",25
"in","one","of",25
"in","the","face",25
"in","the","us",25
"in","the","way",25
"is","the","last",25
"is","there","a",25
"is","to","be",25
"it","could","be",25
"learn","how","to",25
"ll","be","there",25
"look","like","a",25
"made","it","to",25
"meant","to","be",25
"more","of","a",25
"name","of","the",25
"not","sure","if",25
"now","that","i",25
"of","the","same",25
"on","the","couch",25
"one","or","two",25
"out","of","a",25
"out","to","be",25
"over","the","last",25
"really","want","to",25
"t","have","the",25
"t","know","why",25
"that","kind","of",25
"that","will","be",25
"the","last","few",25
"the","majority","of",25
"the","most","important",25
"the","people","of",25
"the","start","of",25
"the","use","of",25
"this","will","be",25
"to","be","honest",25
"to","find","the",25
"to","get","in",25
"to","go","on",25
"to","me","i",25
"to","see","that",25
"up","for","the",25
"up","with","the",25
"was","just","a",25
"what","you","re",25
"you","and","i",25
"you","can","use",25
"you","know","how",25
"you","ve","been",25
"a","few","months",24
"a","great","job",24
"a","hard","time",24
"able","to","get",24
"and","no","one",24
"back","of","the",24
"black","and","white",24
"but","i","do",24
"but","i","had",24
"but","you","can",24
"couple","of","weeks",24
"didn","t","even",24
"don","t","feel",24
"first","time","in",24
"getting","ready","for",24
"going","on","in",24
"going","to","go",24
"got","to","be",24
"great","way","to",24
"half","of","the",24
"how","to","do",24
"i","have","seen",24
"i","just","saw",24
"i","look","at",24
"i","think","this",24
"i","was","the",24
"i","woke","up",24
"if","i","have",24
"in","the","hospital",24
"in","the","rain",24
"is","going","on",24
"it","is","also",24
"it","was","not",24
"it","was","really",24
"it","when","i",24
"just","had","to",24
"keep","up","the",24
"listening","to","the",24
"live","in","the",24
"m","not","a",24
"makes","me","feel",24
"me","want","to",24
"must","have","been",24
"need","to","go",24
"next","to","me",24
"no","idea","what",24
"not","to","be",24
"out","for","the",24
"really","don","t",24
"s","not","a",24
"so","if","you",24
"the","first","day",24
"the","heart","of",24
"the","man","who",24
"the","need","to",24
"the","time","of",24
"the","way","we",24
"there","are","many",24
"there","have","been",24
"think","it","was",24
"those","of","you",24
"to","come","to",24
"to","do","something",24
"to","me","that",24
"to","worry","about",24
"trying","to","make",24
"was","on","the",24
"we","ve","been",24
"were","going","to",24
"what","i","was",24
"when","i","got",24
"whether","or","not",24
"would","not","be",24
"you","are","not",24
"you","think","you",24
"a","lot","to",23
"a","really","good",23
"along","the","way",23
"and","i","just",23
"and","when","i",23
"are","having","a",23
"awkward","moment","when",23
"be","a","great",23
"but","at","least",23
"but","they","are",23
"can","do","it",23
"don","t","really",23
"even","if","you",23
"first","time","i",23
"for","at","least",23
"for","that","matter",23
"for","the","shout",23
"for","those","who",23
"for","your","support",23
"had","to","do",23
"have","a","lot",23
"he","has","a",23
"hope","all","is",23
"how","to","make",23
"i","can","be",23
"i","ended","up",23
"i","felt","like",23
"i","hope","it",23
"i","m","looking",23
"i","really","like",23
"i","really","want",23
"i","think","my",23
"i","was","at",23
"i","was","not",23
"i","wish","you",23
"in","my","mind",23
"in","the","dark",23
"in","the","process",23
"in","the","u",23
"in","the","united",23
"is","full","of",23
"is","why","i",23
"it","may","be",23
"just","a","little",23
"known","as","the",23
"may","be","a",23
"me","on","the",23
"me","when","i",23
"might","be","a",23
"my","best","friend",23
"now","i","have",23
"of","the","book",23
"of","the","lord",23
"of","the","people",23
"on","the","back",23
"over","to","the",23
"ready","for","the",23
"s","time","to",23
"so","it","was",23
"so","much","better",23
"so","much","i",23
"soon","as","i",23
"that","s","so",23
"that","we","can",23
"that","we","have",23
"the","chance","to",23
"the","edge","of",23
"the","first","place",23
"the","person","who",23
"the","quality","of",23
"the","world","to",23
"there","are","no",23
"these","are","the",23
"they","didn","t",23
"thing","to","do",23
"think","about","it",23
"this","one","is",23
"to","be","done",23
"to","believe","that",23
"to","follow","me",23
"to","get","up",23
"to","get","your",23
"to","give","it",23
"to","go","out",23
"to","hear","from",23
"to","keep","the",23
"to","make","me",23
"to","one","of",23
"to","pick","up",23
"to","the","next",23
"to","think","of",23
"to","use","it",23
"want","to","make",23
"wanted","to","be",23
"was","supposed","to",23
"we","all","have",23
"we","had","to",23
"we","re","going",23
"we","re","not",23
"what","would","you",23
"when","you","get",23
"who","you","are",23
"will","have","a",23
"would","have","to",23
"would","you","like",23
"you","are","in",23
"you","are","so",23
"you","can","also",23
"you","go","to",23
"you","if","you",23
"a","good","one",22
"a","lot","about",22
"am","not","a",22
"and","for","the",22
"and","i","could",22
"and","it","will",22
"and","one","of",22
"at","the","very",22
"based","on","the",22
"because","i","was",22
"bmw","service","center",22
"bottom","of","the",22
"but","i","like",22
"but","i","really",22
"but","there","is",22
"but","when","i",22
"check","out","our",22
"from","what","i",22
"go","to","a",22
"going","back","to",22
"going","to","see",22
"going","to","take",22
"good","to","be",22
"had","a","dream",22
"happy","to","be",22
"hate","hate","hate",22
"him","in","the",22
"how","many","times",22
"i","am","now",22
"i","can","only",22
"i","found","it",22
"i","got","my",22
"i","had","my",22
"i","hate","it",22
"i","know","right",22
"i","m","about",22
"i","m","here",22
"i","should","have",22
"i","think","he",22
"i","ve","always",22
"im","going","to",22
"in","a","long",22
"in","a","very",22
"in","the","beginning",22
"in","this","world",22
"is","all","about",22
"is","that","you",22
"is","your","favorite",22
"it","has","a",22
"it","s","friday",22
"it","turns","out",22
"it","was","my",22
"join","us","for",22
"last","time","i",22
"looking","at","the",22
"looks","like","i",22
"love","to","hear",22
"may","have","been",22
"me","but","i",22
"not","to","mention",22
"of","one","of",22
"please","don","t",22
"really","need","to",22
"rt","i","m",22
"s","a","lot",22
"service","center","california",22
"she","s","a",22
"should","have","been",22
"should","not","be",22
"spread","the","word",22
"such","as","the",22
"t","make","it",22
"talk","to","you",22
"tell","you","that",22
"thanks","to","all",22
"that","he","has",22
"that","if","you",22
"the","bmw","service",22
"the","things","that",22
"the","world","and",22
"there","are","so",22
"they","re","not",22
"to","get","me",22
"to","hang","out",22
"to","know","what",22
"to","tell","me",22
"waiting","for","the",22
"way","to","get",22
"what","i","want",22
"what","you","are",22
"when","you","have",22
"while","i","m",22
"who","don","t",22
"will","be","at",22
"will","be","on",22
"with","me","and",22
"you","can","tell",22
"you","get","to",22
"you","would","like",22
"-","it","s",21
"a","few","minutes",21
"and","i","don",21
"and","i","got",21
"are","about","to",21
"at","the","beginning",21
"be","the","first",21
"because","it","was",21
"but","in","the",21
"can","make","a",21
"chance","to","win",21
"could","be","a",21
"do","with","the",21
"don","t","do",21
"don","t","mind",21
"excited","to","see",21
"follow","me","on",21
"for","the","support",21
"get","ready","for",21
"get","to","know",21
"go","to","school",21
"going","to","try",21
"gonna","be","a",21
"have","a","chance",21
"have","had","a",21
"here","is","a",21
"how","do","i",21
"i","found","a",21
"i","hope","that",21
"i","just","don",21
"i","just","had",21
"i","just","need",21
"i","knew","i",21
"i","made","a",21
"i","think","of",21
"i","thought","you",21
"i","was","there",21
"i","will","never",21
"i’m","going","to",21
"if","you","could",21
"if","you","know",21
"in","my","opinion",21
"in","the","air",21
"in","the","book",21
"in","the","form",21
"in","the","room",21
"in","the","second",21
"is","having","a",21
"is","that","i",21
"is","the","same",21
"isn","t","a",21
"it","in","a",21
"it","is","just",21
"it","s","good",21
"it","s","okay",21
"it","would","have",21
"know","you","re",21
"make","a","difference",21
"may","have","to",21
"men","and","women",21
"more","than","i",21
"not","at","all",21
"not","in","the",21
"not","want","to",21
"of","the","city",21
"of","the","house",21
